%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328460.6,45.83310671,-110.9371179,2514.0728,1,8,0.0108,0.0082,0.0196,-0.0051,0.0085,-0.0078,-9.4,999.9
2185,328460.8,45.8331098,-110.9371121,2513.6566,1,8,0.0106,0.0081,0.0193,-0.005,0.0084,-0.0077,-9.2,999.9
2185,328461,45.833113,-110.9371061,2513.2344,1,8,0.0105,0.008,0.0191,-0.005,0.0082,-0.0076,-9,999.9
2185,328461.2,45.83311627,-110.9371001,2512.8099,1,8,0.0104,0.0079,0.0188,-0.0049,0.0081,-0.0075,-8.8,999.9
2185,328461.4,45.8331194,-110.9370942,2512.4042,1,8,0.0102,0.0077,0.0185,-0.0048,0.008,-0.0074,-8.6,999.9
2185,328461.6,45.8331225,-110.9370882,2511.9848,1,8,0.0101,0.0076,0.0182,-0.0047,0.0078,-0.0073,-8.4,999.9
2185,328461.8,45.83312573,-110.9370822,2511.5499,1,8,0.01,0.0075,0.018,-0.0047,0.0077,-0.0073,-8.2,999.9
2185,328462,45.83312895,-110.9370765,2511.129,1,8,0.0099,0.0074,0.0177,-0.0046,0.0076,-0.0072,-8,999.9
2185,328462.2,45.83313176,-110.9370713,2510.7458,1,8,0.0097,0.0073,0.0174,-0.0045,0.0074,-0.0071,-7.8,999.9
2185,328462.4,45.83313387,-110.9370672,2510.428,1,8,0.0096,0.0071,0.0172,-0.0044,0.0073,-0.007,-7.6,999.9
2185,328462.6,45.8331353,-110.9370644,2510.1761,1,8,0.0095,0.007,0.0169,-0.0044,0.0072,-0.0069,-7.4,999.9
2185,328462.8,45.83313619,-110.9370629,2510.0314,1,8,0.0094,0.0069,0.0166,-0.0043,0.007,-0.0069,-7.2,999.9
2185,328463,45.83313693,-110.9370619,2510.0011,1,8,0.0092,0.0068,0.0164,-0.0042,0.0069,-0.0068,-7,999.9
2185,328463.2,45.83313807,-110.9370602,2510.0554,1,8,0.0091,0.0067,0.0162,-0.0042,0.0068,-0.0067,-6.8,999.9
2185,328463.4,45.83313973,-110.9370573,2510.1395,1,8,0.009,0.0066,0.016,-0.0041,0.0066,-0.0066,-6.6,999.9
2185,328463.6,45.83314217,-110.9370531,2510.2492,1,8,0.0089,0.0065,0.0158,-0.004,0.0065,-0.0066,-6.4,999.9
2185,328463.8,45.83314527,-110.9370479,2510.3701,1,8,0.0088,0.0063,0.0153,-0.004,0.0064,-0.0064,-6.2,4.6
2185,328464,45.83314885,-110.9370414,2510.5155,1,8,0.0087,0.0062,0.0158,-0.0039,0.0061,-0.0066,-6,999.9
2185,328464.2,45.83315269,-110.9370343,2510.653,1,8,0.0086,0.0061,0.0155,-0.0038,0.006,-0.0065,-5.8,999.9
2185,328464.4,45.83315659,-110.9370269,2510.7963,1,8,0.0084,0.006,0.0153,-0.0037,0.0059,-0.0064,-5.6,999.9
2185,328464.6,45.83316051,-110.9370196,2510.9258,1,8,0.0083,0.0059,0.015,-0.0036,0.0058,-0.0063,-5.4,999.9
2185,328464.8,45.83316434,-110.9370122,2511.0592,1,8,0.0082,0.0058,0.0148,-0.0036,0.0056,-0.0063,-5.2,999.9
2185,328465,45.83316819,-110.9370049,2511.1896,1,8,0.0081,0.0057,0.0145,-0.0035,0.0055,-0.0062,-5,999.9
2185,328465.2,45.83317191,-110.9369977,2511.3219,1,8,0.008,0.0056,0.0142,-0.0034,0.0054,-0.0061,-4.8,999.9
